course_id,ualberta_feedback_user_id,feedback_system,feedback_rating,feedback_max_rating,feedback_ts
"99SZyjVxEeW6RApRXdjJPw",191de34e5bc8b078862254d79c7f527134320073,"NPS_FIRST_WEEK",10,10,2016-04-03 02:09:04.126
"99SZyjVxEeW6RApRXdjJPw",a6ffd5da0cba5fbe458c48c82554e12874014ad3,"NPS_END_OF_COURSE",10,10,2016-05-04 06:52:26.469
"99SZyjVxEeW6RApRXdjJPw",a6ffd5da0cba5fbe458c48c82554e12874014ad3,"NPS_FIRST_WEEK",10,10,2016-03-27 08:16:22.584
"99SZyjVxEeW6RApRXdjJPw",751d5333eabfa71f2e8a9858568595340fbf9273,"NPS_END_OF_COURSE",10,10,2016-05-26 21:40:55.773
"99SZyjVxEeW6RApRXdjJPw",751d5333eabfa71f2e8a9858568595340fbf9273,"NPS_FIRST_WEEK",10,10,2016-03-30 12:22:31.702
"99SZyjVxEeW6RApRXdjJPw",751d5333eabfa71f2e8a9858568595340fbf9273,"STAR",5,5,2016-05-26 21:42:32.839
"99SZyjVxEeW6RApRXdjJPw",7a868f943637727ca9eb2624f6713c19a67995c5,"NPS_FIRST_WEEK",7,10,2016-04-03 21:42:34.044
"99SZyjVxEeW6RApRXdjJPw",eb46162e54b77ba2ab983fd019e02151f1ac4a7e,"NPS_FIRST_WEEK",10,10,2016-03-27 19:07:10.205
"99SZyjVxEeW6RApRXdjJPw",3a322182e30ef4f60d778c8440dc5f5dbad38424,"NPS_FIRST_WEEK",7,10,2016-03-28 00:55:24.074
"99SZyjVxEeW6RApRXdjJPw",406daf93658e2f702567279760811949192803b9,"STAR",5,5,2016-04-21 23:16:20.954
"99SZyjVxEeW6RApRXdjJPw",1cf59874e4063c043f21ae921ab633ae4a9fb245,"NPS_FIRST_WEEK",10,10,2016-04-03 17:48:44.41
"99SZyjVxEeW6RApRXdjJPw",f27825a0b9a8da8549527eb0ae44c2de9e63078f,"NPS_FIRST_WEEK",9,10,2016-04-03 12:48:04.289
"99SZyjVxEeW6RApRXdjJPw",11744a320535fa071dd37d0463bbe8f7420745d2,"NPS_END_OF_COURSE",10,10,2016-04-24 21:31:36.353
"99SZyjVxEeW6RApRXdjJPw",59c8e525c04dd0599118ba66b80432eb1038c146,"NPS_FIRST_WEEK",10,10,2016-03-28 18:37:15.394
"99SZyjVxEeW6RApRXdjJPw",647b333f85ca0f13b1924dddeb33fe83df2c7a4f,"STAR",5,5,2016-04-05 18:15:24.306
"99SZyjVxEeW6RApRXdjJPw",285d4f5a4753f8a819eecaee27e8e548c89b0f02,"NPS_END_OF_COURSE",9,10,2016-05-02 15:04:56.738
"99SZyjVxEeW6RApRXdjJPw",285d4f5a4753f8a819eecaee27e8e548c89b0f02,"NPS_FIRST_WEEK",8,10,2016-04-01 19:42:45.952
"99SZyjVxEeW6RApRXdjJPw",0dadc4688ea62772b9bb3c1843bf2e8e415ca21d,"NPS_FIRST_WEEK",6,10,2016-04-02 16:19:18.664
"99SZyjVxEeW6RApRXdjJPw",782a750d330766a661d26371b92dafe1a7a2c148,"NPS_END_OF_COURSE",10,10,2016-05-04 20:48:00.469
"99SZyjVxEeW6RApRXdjJPw",782a750d330766a661d26371b92dafe1a7a2c148,"NPS_FIRST_WEEK",10,10,2016-03-30 04:21:02.114
"99SZyjVxEeW6RApRXdjJPw",782a750d330766a661d26371b92dafe1a7a2c148,"STAR",5,5,2016-04-01 14:06:52.579
"99SZyjVxEeW6RApRXdjJPw",fd254424b72592bc00e1ec8b707f778a5ed45223,"NPS_FIRST_WEEK",9,10,2016-04-02 09:12:00.565
"99SZyjVxEeW6RApRXdjJPw",be567e757ac1cb4a17453eca19de4f93c837e2e7,"STAR",5,5,2016-03-27 15:21:27.094
"99SZyjVxEeW6RApRXdjJPw",dc7c10cbf6e33af2e29610f9560b8eb00097f823,"NPS_END_OF_COURSE",9,10,2016-06-27 18:37:42.037
"99SZyjVxEeW6RApRXdjJPw",3ca79d65650c9631cf3c1acdf554e4b16f814e08,"NPS_END_OF_COURSE",10,10,2016-05-01 02:14:36.756
"99SZyjVxEeW6RApRXdjJPw",3ca79d65650c9631cf3c1acdf554e4b16f814e08,"NPS_FIRST_WEEK",10,10,2016-03-26 14:22:16.511
"99SZyjVxEeW6RApRXdjJPw",3ca79d65650c9631cf3c1acdf554e4b16f814e08,"STAR",5,5,2016-04-30 00:01:36.555
"99SZyjVxEeW6RApRXdjJPw",6e268ded726e1e8c1bf8697e2d3cea0b5355c3d5,"NPS_END_OF_COURSE",10,10,2016-04-30 18:55:01.694
"99SZyjVxEeW6RApRXdjJPw",6e268ded726e1e8c1bf8697e2d3cea0b5355c3d5,"NPS_FIRST_WEEK",9,10,2016-03-22 15:29:54.994
"99SZyjVxEeW6RApRXdjJPw",6e268ded726e1e8c1bf8697e2d3cea0b5355c3d5,"STAR",5,5,2016-07-15 17:05:34.377
"99SZyjVxEeW6RApRXdjJPw",cccd627ea7f71d26abe0af26a3246a028724b9db,"NPS_END_OF_COURSE",10,10,2016-06-28 08:13:58.721
"99SZyjVxEeW6RApRXdjJPw",620bacc4f8847b5c1409918761a75ab71cb4d6b0,"NPS_END_OF_COURSE",8,10,2016-04-26 19:00:59.227
"99SZyjVxEeW6RApRXdjJPw",832be4df6bdd650914b9904e82b0e3c570b51da4,"NPS_FIRST_WEEK",7,10,2016-03-31 10:10:05.694
"99SZyjVxEeW6RApRXdjJPw",fdd56a6640f01328df261ecef6aadb9fb9a47c4b,"NPS_END_OF_COURSE",9,10,2016-04-28 12:31:13.608
"99SZyjVxEeW6RApRXdjJPw",e2f8414221a78fbb226118281942a24300163010,"NPS_FIRST_WEEK",8,10,2016-04-04 02:35:43.431
"99SZyjVxEeW6RApRXdjJPw",92d4e2a44fff2f21d33c9996ac60dcb51e032468,"NPS_END_OF_COURSE",10,10,2016-04-11 14:30:59.968
"99SZyjVxEeW6RApRXdjJPw",a9be8bb14545924117ab4e88ec717d6405c83daf,"NPS_END_OF_COURSE",10,10,2016-05-19 18:38:00.709
"99SZyjVxEeW6RApRXdjJPw",a9be8bb14545924117ab4e88ec717d6405c83daf,"STAR",5,5,2016-05-03 16:03:26.584
"99SZyjVxEeW6RApRXdjJPw",c6243f697d977a71a34acebee8621bc51d31af92,"NPS_END_OF_COURSE",10,10,2016-05-02 18:01:24.291
"99SZyjVxEeW6RApRXdjJPw",c6243f697d977a71a34acebee8621bc51d31af92,"STAR",5,5,2016-05-20 20:36:27.023
"99SZyjVxEeW6RApRXdjJPw",5cfefcdd04e587bc855061b647297ffa1b22761b,"NPS_FIRST_WEEK",10,10,2016-05-23 17:23:49.566
"99SZyjVxEeW6RApRXdjJPw",d154d0d99095a06f3236503e662d1a5a2a6cc56a,"NPS_END_OF_COURSE",10,10,2016-04-18 21:33:06.194
"99SZyjVxEeW6RApRXdjJPw",d154d0d99095a06f3236503e662d1a5a2a6cc56a,"NPS_FIRST_WEEK",10,10,2016-03-28 01:07:33.338
"99SZyjVxEeW6RApRXdjJPw",3774bdb2e6f9f47cb89ee801d2175a7dd364d969,"NPS_FIRST_WEEK",10,10,2016-03-28 04:58:10.827
"99SZyjVxEeW6RApRXdjJPw",5429062404d0c885659f1009b70bda1e3cbb9e75,"NPS_FIRST_WEEK",10,10,2016-04-03 15:29:59.01
"99SZyjVxEeW6RApRXdjJPw",0b2b9e86eae3c19295d3d4f63fdf23349b2eb549,"NPS_FIRST_WEEK",9,10,2016-05-29 21:16:29.082
"99SZyjVxEeW6RApRXdjJPw",01d8802289a8049d9d9b0dbe177c366f94f75127,"NPS_END_OF_COURSE",10,10,2016-04-27 08:51:47.926
"99SZyjVxEeW6RApRXdjJPw",01d8802289a8049d9d9b0dbe177c366f94f75127,"NPS_FIRST_WEEK",9,10,2016-04-01 15:13:52.539
"99SZyjVxEeW6RApRXdjJPw",95ab9ea03513b945bebfe1564b0239e0a0de546e,"STAR",5,5,2016-05-30 20:33:34.663
"99SZyjVxEeW6RApRXdjJPw",e896b25a43eafe87d4f38023d952495182ca63e0,"NPS_FIRST_WEEK",10,10,2016-05-22 06:30:36.492
"99SZyjVxEeW6RApRXdjJPw",e896b25a43eafe87d4f38023d952495182ca63e0,"STAR",5,5,2016-06-18 10:14:54.94
"99SZyjVxEeW6RApRXdjJPw",72475792bfdb24a92308665b5b921ca55663a9d3,"NPS_END_OF_COURSE",10,10,2016-04-04 06:48:25.874
"99SZyjVxEeW6RApRXdjJPw",72475792bfdb24a92308665b5b921ca55663a9d3,"NPS_FIRST_WEEK",10,10,2016-03-24 22:30:18.727
"99SZyjVxEeW6RApRXdjJPw",2a1df313ec4bd1c0373851fe063d685fa6e45015,"NPS_END_OF_COURSE",10,10,2016-04-20 08:26:52.005
"99SZyjVxEeW6RApRXdjJPw",2a1df313ec4bd1c0373851fe063d685fa6e45015,"NPS_FIRST_WEEK",10,10,2016-03-27 15:54:58.03
"99SZyjVxEeW6RApRXdjJPw",6774cd03b38324219bd4f2a406e3c796bac2c14e,"NPS_FIRST_WEEK",10,10,2016-04-03 18:49:55.137
"99SZyjVxEeW6RApRXdjJPw",ac49a6a4c079c21b1c31ac819df5739a8d4e2649,"NPS_END_OF_COURSE",10,10,2016-05-01 18:36:45.545
"99SZyjVxEeW6RApRXdjJPw",ac49a6a4c079c21b1c31ac819df5739a8d4e2649,"STAR",5,5,2016-04-29 17:41:18.634
"99SZyjVxEeW6RApRXdjJPw",995421128dbb25c921d779edd42958f7cd375f1a,"STAR",5,5,2016-03-26 16:33:49.935
"99SZyjVxEeW6RApRXdjJPw",d2559385784ef8e3f74a7e55f6393ac6ee0b1239,"NPS_END_OF_COURSE",10,10,2016-04-15 13:17:39.738
"99SZyjVxEeW6RApRXdjJPw",a50d7eddd8a790c01aa4bd94039ed1f8c04d1042,"NPS_FIRST_WEEK",10,10,2016-03-27 08:25:56.787
"99SZyjVxEeW6RApRXdjJPw",3e40842af5518464dfb704c6b11c244755e9ea4f,"NPS_END_OF_COURSE",10,10,2016-04-27 04:28:34.686
"99SZyjVxEeW6RApRXdjJPw",3e40842af5518464dfb704c6b11c244755e9ea4f,"NPS_FIRST_WEEK",10,10,2016-03-31 05:29:00.296
"99SZyjVxEeW6RApRXdjJPw",f39abd3179541137c3b7e6e0c4d243e1575d4c49,"NPS_FIRST_WEEK",10,10,2016-05-27 17:21:49.426
"99SZyjVxEeW6RApRXdjJPw",596261ce5b273f23e60eeaf717266bac18b63012,"NPS_END_OF_COURSE",10,10,2016-07-20 16:30:33.282
"99SZyjVxEeW6RApRXdjJPw",596261ce5b273f23e60eeaf717266bac18b63012,"NPS_FIRST_WEEK",10,10,2016-05-25 04:05:17.302
"99SZyjVxEeW6RApRXdjJPw",78df4876e2ad428a0d5591969a6fa746a7ed5fbd,"NPS_FIRST_WEEK",9,10,2016-03-24 03:26:21.518
"99SZyjVxEeW6RApRXdjJPw",1a8b0fb615ee4ae0cf46bc5533c8c9a5866dddef,"STAR",5,5,2016-04-19 15:27:43.215
"99SZyjVxEeW6RApRXdjJPw",b14a16f6c2c3ff38bd7cc90f665c3458a26ab623,"NPS_END_OF_COURSE",8,10,2016-05-05 08:35:55.187
"99SZyjVxEeW6RApRXdjJPw",b14a16f6c2c3ff38bd7cc90f665c3458a26ab623,"STAR",5,5,2016-03-27 02:23:04.479
"99SZyjVxEeW6RApRXdjJPw",eaddc522d656daf7814f5e2765044c2acd482577,"NPS_FIRST_WEEK",8,10,2016-03-28 12:37:01.531
"99SZyjVxEeW6RApRXdjJPw",043e3b65b004ff3ae09c349e7162ecbb80b31dfb,"NPS_END_OF_COURSE",10,10,2016-06-22 16:17:49.771
"99SZyjVxEeW6RApRXdjJPw",aca2c9867ebe011b3f8cddfe728fbcffdacc3e3e,"NPS_FIRST_WEEK",10,10,2016-04-03 17:33:48.902
"99SZyjVxEeW6RApRXdjJPw",5070c884f1a8eb4af44ab08ed8856665cf3a46b4,"STAR",4,5,2016-04-29 18:31:36.997
"99SZyjVxEeW6RApRXdjJPw",a87ea8dca18adfe2cccd56d6669876c3b25d7f4b,"NPS_FIRST_WEEK",8,10,2016-04-02 13:23:25.961
"99SZyjVxEeW6RApRXdjJPw",896d38a767c30218e0ff5742dd2538fbb567c809,"NPS_FIRST_WEEK",10,10,2016-05-19 21:53:06.644
"99SZyjVxEeW6RApRXdjJPw",896d38a767c30218e0ff5742dd2538fbb567c809,"STAR",5,5,2016-06-14 13:53:03.661
"99SZyjVxEeW6RApRXdjJPw",348b980ee3498f957a0e80b5dcaaa9dd70ea5bf5,"NPS_END_OF_COURSE",9,10,2016-04-18 11:25:55.067
"99SZyjVxEeW6RApRXdjJPw",c7a5745d4e46b0787b6f599b12fa0d44b02ef16e,"NPS_END_OF_COURSE",8,10,2016-06-23 13:38:28.385
"99SZyjVxEeW6RApRXdjJPw",4ad47baec06a33bd5a91fcea6e39931211e436d0,"NPS_END_OF_COURSE",10,10,2016-05-01 09:35:56.918
"99SZyjVxEeW6RApRXdjJPw",4ad47baec06a33bd5a91fcea6e39931211e436d0,"NPS_FIRST_WEEK",10,10,2016-04-02 08:15:31.319
"99SZyjVxEeW6RApRXdjJPw",67110267c3c4f0f01ef3f8d537718fafedbb280d,"NPS_FIRST_WEEK",7,10,2016-04-02 20:03:57.008
"99SZyjVxEeW6RApRXdjJPw",eb3de082bd9d9ad5b7095d0559e93f7b39d46e0b,"NPS_END_OF_COURSE",10,10,2016-04-25 15:54:20.808
"99SZyjVxEeW6RApRXdjJPw",eb3de082bd9d9ad5b7095d0559e93f7b39d46e0b,"NPS_FIRST_WEEK",9,10,2016-03-26 18:31:08.562
"99SZyjVxEeW6RApRXdjJPw",ecb8b9199817206aef58f5e8591163e52071cba6,"NPS_END_OF_COURSE",9,10,2016-04-30 00:05:50.636
"99SZyjVxEeW6RApRXdjJPw",fd51e9d680230add56823570ba62671098b8d45a,"NPS_FIRST_WEEK",10,10,2016-05-25 14:40:31.393
"99SZyjVxEeW6RApRXdjJPw",2b3c12215afe5b732b57f9047ffff61315c923f4,"NPS_FIRST_WEEK",10,10,2016-04-04 02:12:01.272
"99SZyjVxEeW6RApRXdjJPw",dc4fec099b9135f014bc62a0a40779d5327dc94e,"NPS_FIRST_WEEK",10,10,2016-03-31 12:53:20.717
"99SZyjVxEeW6RApRXdjJPw",dc4fec099b9135f014bc62a0a40779d5327dc94e,"STAR",5,5,2016-04-08 11:21:39.615
"99SZyjVxEeW6RApRXdjJPw",6cb91075c2427b00d16a76b101fa57f325c1a287,"NPS_END_OF_COURSE",10,10,2016-06-28 14:27:04.443
"99SZyjVxEeW6RApRXdjJPw",6cb91075c2427b00d16a76b101fa57f325c1a287,"NPS_FIRST_WEEK",10,10,2016-04-10 00:12:14.77
"99SZyjVxEeW6RApRXdjJPw",6cb91075c2427b00d16a76b101fa57f325c1a287,"STAR",5,5,2016-06-29 19:18:56.609
"99SZyjVxEeW6RApRXdjJPw",042b54049a38d956540e3660b947361136bd271c,"NPS_FIRST_WEEK",10,10,2016-04-08 02:04:40.182
"99SZyjVxEeW6RApRXdjJPw",fbcb9108d67924941070c6d3793777e72eb0c5bb,"NPS_FIRST_WEEK",9,10,2016-04-02 09:35:40.604
"99SZyjVxEeW6RApRXdjJPw",fbcb9108d67924941070c6d3793777e72eb0c5bb,"STAR",4,5,2016-07-17 10:30:26.067
"99SZyjVxEeW6RApRXdjJPw",f1453bbd6aaccd3fc1358d3037bb5375d8c03b5c,"NPS_FIRST_WEEK",9,10,2016-05-26 04:46:39.604
"99SZyjVxEeW6RApRXdjJPw",f2276c24864a82117abebba900fd7da0a25406e3,"NPS_END_OF_COURSE",9,10,2016-04-27 15:17:36.838
"99SZyjVxEeW6RApRXdjJPw",ff189d5ca8172399678154ba1a5bb2c8141c096d,"NPS_END_OF_COURSE",10,10,2016-04-23 14:33:19.443
"99SZyjVxEeW6RApRXdjJPw",ff189d5ca8172399678154ba1a5bb2c8141c096d,"NPS_FIRST_WEEK",7,10,2016-03-28 04:44:08.083
"99SZyjVxEeW6RApRXdjJPw",fa964d139120d237b862bd11174efea31ec79e2f,"NPS_FIRST_WEEK",10,10,2016-05-20 17:45:51.073
"99SZyjVxEeW6RApRXdjJPw",fe7f8b81ef3220e0820d75ad5be27f476d76d02f,"NPS_FIRST_WEEK",10,10,2016-03-29 09:44:17.081
"99SZyjVxEeW6RApRXdjJPw",365ab220c8cfe32623c9195567f7dac5592a0ee8,"NPS_END_OF_COURSE",7,10,2016-06-23 17:49:56.115
"99SZyjVxEeW6RApRXdjJPw",365ab220c8cfe32623c9195567f7dac5592a0ee8,"STAR",4,5,2016-06-23 17:50:47.864
"99SZyjVxEeW6RApRXdjJPw",76dc14739e959f0c2b22c6207596ea3463faa977,"NPS_END_OF_COURSE",10,10,2016-05-02 14:01:14.936
"99SZyjVxEeW6RApRXdjJPw",e9bafad0c7dc377a3aa38589d7c724902d684db6,"NPS_END_OF_COURSE",9,10,2016-06-28 07:57:32.657
"99SZyjVxEeW6RApRXdjJPw",dd02e13c654e09f54674bea021b805cce69f1c36,"NPS_END_OF_COURSE",9,10,2016-05-04 22:47:55.344
"99SZyjVxEeW6RApRXdjJPw",dd02e13c654e09f54674bea021b805cce69f1c36,"NPS_FIRST_WEEK",9,10,2016-03-28 20:24:30.156
"99SZyjVxEeW6RApRXdjJPw",d5fd8cce4f97603fa6c3b7601892dd61848e0ec3,"NPS_END_OF_COURSE",7,10,2016-04-19 13:10:34.052
"99SZyjVxEeW6RApRXdjJPw",be5ef1ccacad8114db1249d83f9fe5daa16ce5fd,"NPS_FIRST_WEEK",6,10,2016-04-01 21:40:07.944
"99SZyjVxEeW6RApRXdjJPw",f4c2c92532473052d09a75bcd81cef25ca7aca12,"STAR",4,5,2016-05-12 12:11:30.781
"99SZyjVxEeW6RApRXdjJPw",ca569828f3ef5b96a84b43246f5a2fda09f99016,"NPS_FIRST_WEEK",8,10,2016-03-31 21:41:18.719
"99SZyjVxEeW6RApRXdjJPw",358c43a3f81ed4b15048dd4cf448b56e449a54ab,"NPS_FIRST_WEEK",9,10,2016-04-15 01:19:34.999
"99SZyjVxEeW6RApRXdjJPw",523fcbe5f0625d1ade6feae6a2fcacf3e28d443b,"STAR",5,5,2016-06-28 16:01:49.46
"99SZyjVxEeW6RApRXdjJPw",411f18f86d5981bf242df2356e3bf1baed3b21f7,"NPS_FIRST_WEEK",7,10,2016-05-21 12:57:47.923
"99SZyjVxEeW6RApRXdjJPw",5003bdafeb000a565cced71c92dd0219dfb5fc4d,"NPS_END_OF_COURSE",10,10,2016-04-27 12:00:51.289
"99SZyjVxEeW6RApRXdjJPw",5003bdafeb000a565cced71c92dd0219dfb5fc4d,"NPS_FIRST_WEEK",9,10,2016-03-29 18:44:56.79
"99SZyjVxEeW6RApRXdjJPw",616015ef34cb446235e040b54aeadebf05b0381d,"NPS_END_OF_COURSE",9,10,2016-05-13 08:26:26.359
"99SZyjVxEeW6RApRXdjJPw",616015ef34cb446235e040b54aeadebf05b0381d,"NPS_FIRST_WEEK",7,10,2016-03-27 15:29:50.228
"99SZyjVxEeW6RApRXdjJPw",616015ef34cb446235e040b54aeadebf05b0381d,"STAR",5,5,2016-03-27 07:51:36.439
"99SZyjVxEeW6RApRXdjJPw",0554529d021709263c7b0b14f76935a4935b6d26,"NPS_END_OF_COURSE",10,10,2016-04-24 06:15:50.725
"99SZyjVxEeW6RApRXdjJPw",823c07b370d3d3034c493f544530c11f608988fa,"NPS_END_OF_COURSE",9,10,2016-04-29 00:28:03.439
"99SZyjVxEeW6RApRXdjJPw",823c07b370d3d3034c493f544530c11f608988fa,"NPS_FIRST_WEEK",6,10,2016-04-03 13:17:30.947
"99SZyjVxEeW6RApRXdjJPw",de91e1fc30447a4c590b5ad280aa267e6e039fd6,"NPS_END_OF_COURSE",9,10,2016-05-05 15:29:19.947
"99SZyjVxEeW6RApRXdjJPw",0620d70c7e22218c4ef64ea61d316999b59a8295,"NPS_FIRST_WEEK",10,10,2016-04-03 10:55:21.475
"99SZyjVxEeW6RApRXdjJPw",e6481a933c3d47a39e112afb1a00aea78bc73fc2,"NPS_FIRST_WEEK",8,10,2016-05-23 21:48:46.032
"99SZyjVxEeW6RApRXdjJPw",3538e6e5791b1855cb8aa9abbe2445e4cc57db13,"NPS_END_OF_COURSE",10,10,2016-04-28 07:29:05.794
"99SZyjVxEeW6RApRXdjJPw",3538e6e5791b1855cb8aa9abbe2445e4cc57db13,"NPS_FIRST_WEEK",10,10,2016-04-01 10:54:13.581
"99SZyjVxEeW6RApRXdjJPw",3538e6e5791b1855cb8aa9abbe2445e4cc57db13,"STAR",5,5,2016-03-28 11:49:52.86
"99SZyjVxEeW6RApRXdjJPw",32de7c6b478dc7d96fb7462122a4609fc2eadfa3,"NPS_FIRST_WEEK",7,10,2016-03-29 11:10:08.22
"99SZyjVxEeW6RApRXdjJPw",7e9917843975584dde296cebb1504db65f56e434,"NPS_FIRST_WEEK",6,10,2016-03-31 20:39:45.987
"99SZyjVxEeW6RApRXdjJPw",7e9917843975584dde296cebb1504db65f56e434,"STAR",5,5,2016-04-09 13:36:11.30
"99SZyjVxEeW6RApRXdjJPw",660423ae5e5365a2a539e4f896d2de5f25b79d3e,"NPS_FIRST_WEEK",10,10,2016-04-05 01:57:28.258
"99SZyjVxEeW6RApRXdjJPw",dc236ccae57491518dc612039b81660941ac25fb,"NPS_END_OF_COURSE",8,10,2016-04-24 18:24:04.448
"99SZyjVxEeW6RApRXdjJPw",dc236ccae57491518dc612039b81660941ac25fb,"NPS_FIRST_WEEK",9,10,2016-04-01 19:07:18.434
"99SZyjVxEeW6RApRXdjJPw",52637d943a5b40652de7fbecddcaefdc724a2cde,"NPS_FIRST_WEEK",10,10,2016-05-30 20:39:47.003
"99SZyjVxEeW6RApRXdjJPw",526d864089d09b860b5b3dee756626cbd4cdb4a0,"STAR",5,5,2016-03-29 19:14:13.981
"99SZyjVxEeW6RApRXdjJPw",237c9e19fab0d993a66c9d4b42d483cdee43a7a0,"NPS_FIRST_WEEK",10,10,2016-05-27 11:21:57.707
"99SZyjVxEeW6RApRXdjJPw",86b6b987dc1913e0974b6b668065f7578b87ab0d,"NPS_FIRST_WEEK",7,10,2016-03-29 02:47:28.317
"99SZyjVxEeW6RApRXdjJPw",d5ea06e03add1c39c6b30d244747270a14f2adf0,"NPS_FIRST_WEEK",10,10,2016-04-03 19:03:10.701
"99SZyjVxEeW6RApRXdjJPw",53f3187b08c24a6992f10fc32ac897cf419a1c35,"NPS_END_OF_COURSE",9,10,2016-05-03 05:23:21.42
"99SZyjVxEeW6RApRXdjJPw",53f3187b08c24a6992f10fc32ac897cf419a1c35,"NPS_FIRST_WEEK",9,10,2016-04-01 13:48:35.267
"99SZyjVxEeW6RApRXdjJPw",1ba8787cbe2c8eac1952ca016c76bbf3fd0fac86,"NPS_FIRST_WEEK",7,10,2016-04-02 16:44:43.846
