ualberta_user_id,course_id,met_payment_condition,was_payment,was_finaid_grant,was_group_sponsored
50e2fb7791bee7fadb8a5e14dd398ebf39fbd0e7,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
39011d9b41e938a7321891ee47d6566d6717a0a3,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
3d4e37bafb183f8f9d13e227e28ecfe461ae8deb,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2321b9f9c812aa9fac7a81cb742954078d9bc35f,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
64eb06b8131032f593ea45e927e59555bf586a9d,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
684349c730923aed5393d5105c00252266af092f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f849830e9c3f637b2d97337f8b089d4d9d10e5ed,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
3b090f04fb27885686db80b32453ca1b12472942,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
86d99c9470fdd53d0825490b21b2dbab7eb4c938,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
a1757e289f1ba671e3b78bdd4acf2677855a0f8b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0be2e5fe18bd4c9391a4c024d69ac623ff8edd53,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
27d56d20a36e5133b485bd4d08c0e77022b729d7,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
eb3949452fe3bd054de940a3a932e67f8203170e,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
ca9134e7cc214468ba9ef64cbe40a5924f4660a6,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f4ba87f3c3e9e16929bcb550f978e13718f8d74a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
9841ac252e036c2cc41e75d79d409eae532ade15,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
46cacea2f00c295ccb482d6c428772aedc6dd085,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
af3bf3b580f79c630319ac222e14907605242f53,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
acae244a5415df23ad0123d67b2579776b3ba7fe,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b8080c800f3fcd8fb7da0c850eb449f2b4098ace,"99SZyjVxEeW6RApRXdjJPw",t,t,t,f
af8910869ea8d7ec07e65ffd0bc24ac9150dbbd6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ebc0274138fc0b8514d59e112bc735ae9521e5d6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
821b212f621a48b0960ee662dd5664d4da0e8ae0,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6e96348bfdc55dd5bba4f48d369a2a79472fb652,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
caa5bf017c9eb3ecf507cf7a2924cd92ac4f6202,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
817137ccf69af3d65130c3a84e64ba7f64acff7d,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6dbbc8d2e7b7e93cd86b1de6a8b443939f9417fa,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
090bd9a1233d39e2537d665b7ad6cf91821529e4,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dfc4a0e0454e1253fa14241b3912a07a9c3bccdd,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1fb9f3df2cd75c49ec1aa42cd819937bd3ad2a1b,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b2db50bfc3fa5c197b3166aa801450d394f9ae4d,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
163089ed054793003b76588bc3b59f8084df16d5,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0bc34ffd854469b25b048a79bd827d10e798bcb2,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e9c4e81bb725d2c75e0b6d39c683f421e82da69c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c1a7fca426dee9d2bec7b5624ce899b1e5f0f689,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
57205c9ca9f7ebc0cb0b8a309a224018997cb726,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
303c1edd75015515356615e356f076f5975e52f0,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
254f78a6f8b15285121141a81ee08c18d1c90fce,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
efd7f216e0b529f306b960ea6431cd07540bd206,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
47b9d2a48ee37b4b4cbac11fea69814b30d91280,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
6fe9aa35e7eafc63123ee8cf662d7970e14031a2,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
3bc032b830e4cd95759de6eb9f4c2506a1445e7e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
7ff5c975d46197d0d71c9189a7fef12b17c56c57,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f2884f73585f9123b4e86799d19da86c1690b3e2,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1e5fe5f925deb014a0c966e445ba4de812687dac,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
671169e53404faf9c0d8f53b9e986140b5be010a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dbb58af1975eb83c11670b0de4a422d75f183203,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
4bc641a3ca26d6ac92be39b6c1ee916af97cb626,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
64509c928bc9778a23d12c88f011462ac91d15e4,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
62e85911b477f5998f2f130157c46acf223d29db,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
a28a6e2b9cb503d845a860ac856c652c9cdf906e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
a231bc530eb5134f27b68da1a9d965c486f993c9,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ad816281784ebccc4419d6c4e5de8b25345272d6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
462060aefa5582f4ea942c0d42bca3d1ded82f11,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
757f145ad0a8c40ebc669732d49d9f832dd19132,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
00c33da63a7cf14beb0c8957b39fe482123be41c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
7305d96dd0b45436606f21a37ccbcf5919063019,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1604e17e7cc83f3016e7bb86258f8ba0d50b20e6,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6d66d0f7d303dea72753fa4b4eb41b49f7b73e58,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
d82353cfd460cf57ab6534414b6486d123a9eda1,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
97956fa66f22bb79c9505e3fc89900173a43fd8a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
447b607910982ca9fc483bf7e557eca3e43fad74,"99SZyjVxEeW6RApRXdjJPw",t,t,t,f
1cc6a503e0839ee78a0d561f433ff0983186ef2e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
cdcfc9387a4739575fd69d41ba2b8182b474a19e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f85ad44bc4c82b487db03c2d0e809c08d601c6bc,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
da432b5507dc1138ed35a2b5f8d2dc3257a40f16,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2cccee7343a8b23c15bbf55e3556f9bc4f8620d3,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2d7c424d87fee0bd914ce746efb4e1538f100f0a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1be075e41de282dd75ad4d409fb29abcf3abd736,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1aea387a151766b404c6151d757e9ae926d9ad8f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c2e810532f0a965d64943d24a897f09a95dae3f9,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
49ab6a5e3b09c8e7144bf977606b940dee2d7c00,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
dabd23fd78039a42831b8852a67ee35b3e6fa94c,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
03dbee69c8d134fd255ad4b1311d6850e3877c9c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
38bcb39a07a9d00347aefd70262c149d59d30431,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
e8d55991db7acfe07d800a679c11098364f2a57e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dce44e5ad024c276ddb5f54b4b83a29f0278b25f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
7924ab625dca45cf4b226a7eadf5f042a1973300,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
681877a22c6e986a48a6d1bed8171bd776d28da6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
17786ed0a327e0dd8f0431ed1377081c81236b9e,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
954b988b4f55ee85442385d7352f98a77100019f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
77d53bcef4e9d2e32722972c3e5208070defa5d5,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
94d010f86db9e7b3074678d95ee2fadffbe62155,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e8dc19591f03f365f292fb0fc79dcc2568f896ed,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
46fd3143c973228b583e66f3b7c489bb2f0b1dfd,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
86d2160344cc09988fb7f7b5984f36247fcb786b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
178f8dee32620a7eaa900785edf5ab63b2fc3426,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ac4836b90f211bfa23ac26df908ae4535142929d,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
459c800d999abfdae3173ef170fed9749c20fff8,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
4fa8499f8af14268bc74d88ff7818f3ad4a34792,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
11132d7a81620ee3a8313593903b901a324cff79,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b6ba4220f3476ab0378b9910937308931b59c5d2,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
dbe2ec57e6060edc7e5c21f837f1e7ae047039b5,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
01bc70d5026d3bfb9eb2c1b4556b2943cac6cba4,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
31bac1305f17903d98439faff8504e9eb4c0d475,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
067122811942ae2b95daf9950498b5271222df30,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
01e05ed110e60e0cac67f267987414f0f7dceca7,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
01c033fce8e26c0b3bbdb79db7b457c6fed981d1,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
d95f8f5a6e6bfd41edb12447fd18725573ab718b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
897fedb090bb30a79da519dd6382d0d15ab6b0cb,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
416fcc6ced37db86045d1354b3ae3d8d2238f718,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0de7315e662bf27ec542bcb731be16350e2f6a19,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
89609934d53403acd631b10afbdce778a1ac8c56,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
3cd164e661af70f45abde2c3bc69b30830119fd2,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
292bb77f88e9e2e02bede607af6fef32b40508b6,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
83c595a4d0cc85cef16a8c063c2ab03b3ad12497,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2abd343780b17a7dd4dba4cefda8cb5379d9226d,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0035f810529cc356d016ac5697bed2b776a53b0e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
97b6fa2efe47436f63c0db7738ce2c69fbbedcef,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
873424d8e1cb490d58ed2995af3c0330bb7760d8,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
15bb93867552e638b8dca7ee196f3f0c3d3ec56b,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
5936524e4cbe79cfe9ee6419d871b6450431ad18,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
3b42dc3423fd8b595de0f770d429f8fe48fa17c1,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
eb9af07b3a757318b070bc5bedafa639504f336c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c5af145ee26db473505b2a8a63447bfc6093178a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
6454550d89fd84535741bca1d187d7759c809709,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
cd4f16d87b833f5a284b9e7e1a3c292576ce37e6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
49bfe6b0c803a235ea4b850dc2ff68b39712f2fd,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
d96675ba06f69350b845c275c9e11631d6367ce1,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
5f372822bde00ff75e41e3896ecffba8c0972564,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
964bf91b80b7fee3a20c6e1d9c625185ed12deae,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
44ffb6b40685b29c98f0667291b67ff413d2e1b8,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c3fc1d6428ebd65830d27b985946fa10a4134fe1,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c74126426878669680ae94864f9acc9b0aeb8923,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
424b573447807d3f7aa6dfb23b75a34ebec02026,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
fed20c5bcba0fe4d2879bd00599b3d585def16da,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
314f0d627905930c6128f682316d48aad7000792,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
a728b874edff530fdadd77e1a0bd7782230b744c,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
e794d4bb6a2a1102997c75f596ff6696c158ef31,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
c2b240bd4a188162896be19107e3091a91880b14,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
63595f14116b2534446dcca307f464958df0be71,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
ad0a01c98b540dcbd2627263db42900b9a6bb43f,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
7afa5a5ff42b0651c1441ef680b1e7abda9694bf,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f2a81a42ab38e2ca9fcb2aab76c5e77fdf6e63a4,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
b45c1196db5c629e1dac2195e2b6e1100f0bd553,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
195cc0a63f9f2ed6b0ab3014872ceb513fdb2e89,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
c968eddff46339ade9e3d41a0a289b0913125ecd,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
a4c0d489eab266f6d0462c804810dbb51983cc5e,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
b57d4a4f4231a0f11577232f88e9cdc28c068856,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
6ad536260b144236e86699788396a24643051705,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f0a460ac6bdfaaa2109a6c63dba4c6c17b5b582c,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
63dc2ee7b3c79e923227171d57bf06119d9534ec,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
a06e264f114deb91fb870a6b261a100d63fef25a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
74cb027df306b5f6468b44407832d0332c51a844,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
d01529c2d88db8a814ce8d56ef83eea5983ba1f5,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
d65d2a8efe5901a1947e7fbe0bf00373f87052b3,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ad42dc51ce5641cbf0abf249e802efe63a4d9654,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f7e20f7fbe47cfc4e32dccd9d32635a89f448439,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
6fabaf80be2cd519abf4b55aa0f230d0dac4c21b,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f91a33f46621e2e8cda5561d4876399c76ce40eb,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e43abb6c8c3f1a06e23891e64ce911c763e5e458,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1992da99878f7df15dfb2d75d6fd9ff99d26d0b8,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0efd20d7ae1b3e382f39ef8d096169700ae2bd81,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
3522c2cef63ab4ab26187e1f78edec1a0580c6ed,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
eb1d4c5a068a06753d9cbac669f48bd3b2e9daa4,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
9766555e3ab95195d95d3c9bb347d5b21bbb1a79,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
a92655e702979f549fe8e22bde3a7c5e32ed0cfb,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
9d1160eaafb3a2ddc55d6f0260860e5937005d5d,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
30aed64d0960c96ea61c1b0d0f965d31826b1db1,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
6459cdd95361c0e8fef6d3e65b9eab1ce6c7501a,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
652540bc5822bcf9198bbf4a774768ec0d84729c,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
fdac9a5b4dad8e3d0f3ec913d2cb696567b5cc24,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ba3d637c7ca4659c89a62b8ab49dfd249abca1de,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
de7fa58d0e899c7237d6fe909041a540e9fe74e4,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f9fb846a16203ee1d7cdb165c2192a8441595219,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b095d32484fdb21fe11db205eb33d9f260e18944,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
1983d862fb90d76a326a47a2fdb07a130a1afd26,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
7e410e925e0f96a78191c45e285c64710b3c9561,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
1cac51549e644cd5f5c82534bbf2c96628d51946,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
161a2e3b5566a5226481c3a25e1098dcbc41bb41,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
26a5ae7dd0dc5e77a554d3cef4c039a7967111a9,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
794f2e178f117e94e588771d85757adff34b35d6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
5e7a0a25d7ddde8880726437f638d28dca4f7adb,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
eccc59c1043ba778064250a16aa36405882b87c0,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
f7b5ad225b7f2c23d146776747849b243a229f22,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
33b51c1cad10e75334f692536d359c7c44bb9089,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f0dd9fe2b626b165e762d2e15c07e154664db43a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ff66a8968a85e1f119d2e969090025eba37b796c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
54b8cf05b16509ae54ad882f1e27b5be9621483f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
8d3824607f04f8a401dad452df9aaf902d9aa50d,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
39ca7dff49b6caf10c7b9f045b492f73d5b94b3b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
60013271f309814db663b3eebf3693a59edd6626,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
89fd54f762c88e3a59f855be75398c43e99b16af,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
13daf1fe41db110ad5650bfde6c21c11d2f6ea7c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2db41a729996aa8659656456ebb567dad4dbc0ba,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
69eb38bdb814456485beb4e4eb964a6f2c27acca,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
441973f7d1a8c2848e2aae6103913b7fd56af73b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
906c3bf908764a1620c726df4c458e1a7e6ced00,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
ea6c910e072512f19431c11c8f468f7370b2319c,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
39a6e60b095fd5426ad685a5c3750e1f73d0e7e7,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
46b94bac585bc4b5589c2d657b5a16cc9d516108,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
5956fe3bdd6c58f371cc4776ddf211ce3b9a1dcc,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
0ca94b35bf873b73e936f98e94168825f00f8320,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
6a0cf0a09f29b73dc465b0af72c55f5979e3b907,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
4482ce0d085245530602ca97f1c255ecb83a8c8f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
6185c8ec352f109d21586b9e055d2a86433d66f9,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
2672f8d47bac8ab6abd34eac03d9308843432f57,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
a89d9a29ea4682180f492ed87e573463a8ae810a,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
a2b3b8b23ccd1d09674874bee148368321e38ace,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
bf73bd6445c8adf836af63ddd97ea9b4b7a4a0e0,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b02d8840a20f285fec1d1c9cbf80481497fb0dd6,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
de984a104f2ddae8b12a659c3c19d3ba94faecd9,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
d67fb25119c25f1887a97fa0c6afa5be167d5cdc,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
b3c570ccbe00f2c2af7aef8ccfb8ddc979b7bdf0,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e0b3d301e717361fe8f3ab9bd9936d23e56f937a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
5633dab4f2f8877c164c628bd2b5b80a4d0bf59c,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
48f824483c1f28d52d39dc9bc546107a9e497379,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
b65d7c21ea6f23e207ffd49faf8933fef48e4842,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e4227b20577777ebc5e5926929d86c556a65906f,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
72e02ef63093fc1ec2911f8470f8f89fdffe1a40,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
e70f2a19d1737a48a2d9b0d9bfd1a30f67eff9e2,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
82e7d0483437b4794db55689884674dd8d44c69e,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f6f4b7bd6edf4348c666039d22b9451ec0fe7023,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
232f3fd54dc495a25bd6bb3022d4908dc1d60683,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
5e66a8076a91fced992e96eff6cabd401ce5210a,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
e01e9e724f6fc69617ab2e0a807e2aae71cc6018,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
65e2bc073a15e24da94b6a64fc2d5a5ef09b5c4b,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
09fb652ffbdfc8f82159303cecffe9420cbb330e,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
f88b2b4f1fe8ae48781502aedcbf63a7db0a9af3,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
fdc05d8c36b0955446df634e16ea060d0482b666,"99SZyjVxEeW6RApRXdjJPw",t,f,t,f
4bbc093cf1c8d8cc7cf72d97cc460cd68ebbafc0,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
2324d8bd5f5081759a9043e8be13f6ed5c090bda,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
60dcb52274bd704b6e2dedd3d057fd8861365307,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
065c25dac46e28e50c851d336e7363902738a8f8,"99SZyjVxEeW6RApRXdjJPw",t,t,f,f
